Customer Email,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Subject,Ticket Description,Ticket Status,Resolution,Ticket Priority,Ticket Channel,First Response Time,Time to Resolution,Customer Satisfaction Rating,Purchase_Year,Purchase_Month,Purchase_Day
1084,32,2,16,2021-03-22,4,13,3369,2,0,0,3,2023-06-01 12:15:36,2023-06-01 17:14:42,3.0,2021,3,22
1334,42,0,21,2021-05-22,4,10,2004,2,0,0,0,2023-06-01 16:45:38,2023-06-01 17:14:42,3.0,2021,5,22
2580,48,2,10,2020-07-14,4,8,189,0,343,2,3,2023-06-01 11:14:38,2023-06-01 18:05:38,3.0,2020,7,14
741,27,0,25,2020-11-13,0,0,1971,0,2549,2,3,2023-06-01 07:29:40,2023-06-01 01:57:40,3.0,2020,11,13
740,67,0,5,2020-02-04,0,3,636,0,2657,2,1,2023-06-01 00:12:42,2023-06-01 19:53:42,1.0,2020,2,4
6778,53,1,25,2020-07-28,1,9,343,1,0,2,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,7,28
1919,24,2,26,2020-02-23,2,14,6242,1,0,0,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,2,23
3574,23,1,32,2020-08-09,3,1,3835,1,0,0,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,8,9
3781,60,2,13,2020-07-16,4,7,5251,2,0,2,3,2023-06-01 10:32:47,2023-06-01 17:14:42,3.0,2020,7,16
1351,27,1,11,2020-03-06,3,9,7442,2,0,0,2,2023-06-01 09:25:48,2023-06-01 17:14:42,3.0,2020,3,6
4878,48,1,30,2021-01-19,1,3,3988,0,1368,1,2,2023-06-01 17:46:49,2023-05-31 23:51:49,1.0,2021,1,19
1724,51,1,27,2021-10-24,2,15,1206,0,1366,1,0,2023-06-01 12:05:51,2023-06-01 09:27:51,1.0,2021,10,24
3417,27,2,31,2021-05-26,4,6,1389,2,0,2,0,2023-06-01 19:03:53,2023-06-01 17:14:42,3.0,2021,5,26
2676,65,2,28,2020-07-13,4,13,7099,2,0,2,0,2023-06-01 20:34:54,2023-06-01 17:14:42,3.0,2020,7,13
4929,48,0,38,2020-02-29,0,13,2461,0,1568,1,0,2023-06-01 06:22:55,2023-05-31 23:08:55,4.0,2020,2,29
259,18,2,15,2021-06-24,0,12,652,2,0,1,3,2023-06-01 15:09:57,2023-06-01 17:14:42,3.0,2021,6,24
7797,63,2,40,2021-10-13,2,0,970,0,2044,0,0,2023-06-01 19:46:59,2023-06-01 15:58:59,4.0,2021,10,13
5268,56,0,27,2020-09-07,2,9,5384,2,0,1,0,2023-06-01 21:05:01,2023-06-01 17:14:42,3.0,2020,9,7
787,19,1,22,2021-09-23,2,10,4377,1,0,1,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,9,23
3198,39,0,9,2021-03-08,3,15,1754,0,2699,2,0,2023-06-01 00:46:04,2023-06-01 20:29:04,5.0,2021,3,8
6440,28,2,19,2021-05-31,3,9,759,2,0,1,0,2023-06-01 05:08:05,2023-06-01 17:14:42,3.0,2021,5,31
8240,66,1,13,2020-02-04,1,7,2815,2,0,0,3,2023-05-31 23:57:07,2023-06-01 17:14:42,3.0,2020,2,4
4538,54,0,40,2020-02-11,1,4,3783,1,0,3,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,2,11
1054,63,0,31,2021-08-06,4,14,1727,2,0,2,3,2023-06-01 09:06:09,2023-06-01 17:14:42,3.0,2021,8,6
4387,19,1,2,2021-05-25,2,5,5852,1,0,0,1,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,5,25
3667,35,2,19,2021-07-05,2,14,7511,2,0,3,3,2023-06-01 19:02:12,2023-06-01 17:14:42,3.0,2021,7,5
5942,22,2,23,2020-05-02,0,2,48,2,0,2,3,2023-06-01 20:02:13,2023-06-01 17:14:42,3.0,2020,5,2
3316,21,2,12,2020-10-12,1,13,5911,1,0,1,2,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,10,12
2456,30,2,12,2020-06-10,4,12,5289,0,2177,0,2,2023-05-31 23:17:17,2023-06-01 06:03:17,5.0,2020,6,10
6801,67,1,40,2020-12-26,1,2,4858,0,831,3,2,2023-06-01 00:54:17,2023-06-01 18:23:17,1.0,2020,12,26
3482,22,2,0,2021-01-28,0,13,1849,1,0,2,1,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,1,28
8303,60,1,15,2021-12-20,4,11,2961,0,361,3,3,2023-06-01 06:42:21,2023-06-01 07:16:21,3.0,2021,12,20
2637,36,0,12,2021-12-07,0,12,7027,2,0,3,0,2023-06-01 19:36:21,2023-06-01 17:14:42,3.0,2021,12,7
