Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Status,Resolution,Ticket Priority,Ticket Channel,First Response Time,Time to Resolution,Customer Satisfaction Rating,Purchase_Year,Purchase_Month,Purchase_Day,Response_Delay_Hours,Resolution_Delay_Hours,Age_Group
32,2,16,2021-03-22,4,2,0,0,3,2023-06-01 12:15:36,2023-06-01 17:14:42,3.0,2021,3,22,19236.26,4.985,31-40
42,0,21,2021-05-22,4,2,0,0,0,2023-06-01 16:45:38,2023-06-01 17:14:42,3.0,2021,5,22,17776.760555555556,0.48444444444444446,41-50
48,2,10,2020-07-14,4,0,343,2,3,2023-06-01 11:14:38,2023-06-01 18:05:38,3.0,2020,7,14,25259.24388888889,6.85,41-50
27,0,25,2020-11-13,0,0,2549,2,3,2023-06-01 07:29:40,2023-06-01 01:57:40,3.0,2020,11,13,22327.494444444445,-5.533333333333333,21-30
67,0,5,2020-02-04,0,0,2657,2,1,2023-06-01 00:12:42,2023-06-01 19:53:42,1.0,2020,2,4,29112.211666666666,19.683333333333334,61-70
53,1,25,2020-07-28,1,1,0,2,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,7,28,24913.355277777777,15.889722222222222,51-60
24,2,26,2020-02-23,2,1,0,0,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,2,23,28657.355277777777,15.889722222222222,21-30
23,1,32,2020-08-09,3,1,0,0,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,8,9,24625.355277777777,15.889722222222222,21-30
60,2,13,2020-07-16,4,2,0,2,3,2023-06-01 10:32:47,2023-06-01 17:14:42,3.0,2020,7,16,25210.546388888888,6.698611111111111,51-60
27,1,11,2020-03-06,3,2,0,0,2,2023-06-01 09:25:48,2023-06-01 17:14:42,3.0,2020,3,6,28377.43,7.815,21-30
48,1,30,2021-01-19,1,0,1368,1,2,2023-06-01 17:46:49,2023-05-31 23:51:49,1.0,2021,1,19,20729.780277777776,-17.916666666666668,41-50
51,1,27,2021-10-24,2,0,1366,1,0,2023-06-01 12:05:51,2023-06-01 09:27:51,1.0,2021,10,24,14052.0975,-2.6333333333333333,51-60
27,2,31,2021-05-26,4,2,0,2,0,2023-06-01 19:03:53,2023-06-01 17:14:42,3.0,2021,5,26,17683.06472222222,-1.8197222222222222,21-30
65,2,28,2020-07-13,4,2,0,2,0,2023-06-01 20:34:54,2023-06-01 17:14:42,3.0,2020,7,13,25292.581666666665,-3.3366666666666664,61-70
48,0,38,2020-02-29,0,0,1568,1,0,2023-06-01 06:22:55,2023-05-31 23:08:55,4.0,2020,2,29,28518.381944444445,-7.233333333333333,41-50
18,2,15,2021-06-24,0,2,0,1,3,2023-06-01 15:09:57,2023-06-01 17:14:42,3.0,2021,6,24,16983.165833333333,2.0791666666666666,0-20
63,2,40,2021-10-13,2,0,2044,0,0,2023-06-01 19:46:59,2023-06-01 15:58:59,4.0,2021,10,13,14323.783055555556,-3.8,61-70
56,0,27,2020-09-07,2,2,0,1,0,2023-06-01 21:05:01,2023-06-01 17:14:42,3.0,2020,9,7,23949.08361111111,-3.838611111111111,51-60
19,1,22,2021-09-23,2,1,0,1,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,9,23,14785.355277777779,15.889722222222222,0-20
39,0,9,2021-03-08,3,0,2699,2,0,2023-06-01 00:46:04,2023-06-01 20:29:04,5.0,2021,3,8,19560.76777777778,19.716666666666665,31-40
28,2,19,2021-05-31,3,2,0,1,0,2023-06-01 05:08:05,2023-06-01 17:14:42,3.0,2021,5,31,17549.13472222222,12.110277777777778,21-30
66,1,13,2020-02-04,1,2,0,0,3,2023-05-31 23:57:07,2023-06-01 17:14:42,3.0,2020,2,4,29111.951944444445,17.293055555555554,61-70
54,0,40,2020-02-11,1,1,0,3,3,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,2,11,28945.355277777777,15.889722222222222,51-60
63,0,31,2021-08-06,4,2,0,2,3,2023-06-01 09:06:09,2023-06-01 17:14:42,3.0,2021,8,6,15945.1025,8.1425,61-70
19,1,2,2021-05-25,2,1,0,0,1,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,5,25,17689.355277777777,15.889722222222222,0-20
35,2,19,2021-07-05,2,2,0,3,3,2023-06-01 19:02:12,2023-06-01 17:14:42,3.0,2021,7,5,16723.036666666667,-1.7916666666666667,31-40
22,2,23,2020-05-02,0,2,0,2,3,2023-06-01 20:02:13,2023-06-01 17:14:42,3.0,2020,5,2,27020.036944444444,-2.7919444444444443,21-30
21,2,12,2020-10-12,1,1,0,1,2,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,10,12,23089.355277777777,15.889722222222222,21-30
30,2,12,2020-06-10,4,0,2177,0,2,2023-05-31 23:17:17,2023-06-01 06:03:17,5.0,2020,6,10,26063.288055555557,6.766666666666667,21-30
67,1,40,2020-12-26,1,0,831,3,2,2023-06-01 00:54:17,2023-06-01 18:23:17,1.0,2020,12,26,21288.90472222222,17.483333333333334,61-70
22,2,0,2021-01-28,0,1,0,2,1,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,1,28,20497.355277777777,15.889722222222222,21-30
60,1,15,2021-12-20,4,0,361,3,3,2023-06-01 06:42:21,2023-06-01 07:16:21,3.0,2021,12,20,12678.705833333333,0.5666666666666667,51-60
36,0,12,2021-12-07,0,2,0,3,0,2023-06-01 19:36:21,2023-06-01 17:14:42,3.0,2021,12,7,13003.605833333333,-2.3608333333333333,31-40
50,1,5,2021-12-09,3,0,1067,0,3,2023-06-01 02:01:23,2023-06-01 18:25:23,5.0,2021,12,9,12938.023055555555,16.4,41-50
27,1,27,2021-04-09,3,2,0,2,0,2023-06-01 20:50:24,2023-06-01 17:14:42,3.0,2021,4,9,18812.84,-3.595,21-30
24,2,16,2020-10-13,1,0,1875,1,0,2023-06-01 07:56:25,2023-06-01 00:14:25,1.0,2020,10,13,23071.94027777778,-7.7,21-30
65,0,9,2020-03-14,3,2,0,3,1,2023-06-01 15:51:28,2023-06-01 17:14:42,3.0,2020,3,14,28191.85777777778,1.3872222222222221,61-70
39,0,2,2020-09-02,2,1,0,3,0,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,9,2,24049.355277777777,15.889722222222222,31-40
19,1,18,2021-09-10,4,0,1529,0,2,2023-06-01 18:45:30,2023-05-31 21:53:30,3.0,2021,9,10,15114.758333333333,-20.866666666666667,0-20
33,2,1,2021-10-22,2,2,0,3,3,2023-05-31 22:19:32,2023-06-01 17:14:42,3.0,2021,10,22,14086.325555555555,18.919444444444444,31-40
19,0,33,2021-02-07,2,2,0,2,2,2023-06-01 09:11:33,2023-06-01 17:14:42,3.0,2021,2,7,20265.1925,8.0525,0-20
35,1,10,2021-06-09,0,0,2266,0,0,2023-06-01 20:25:34,2023-06-01 14:43:34,3.0,2021,6,9,17348.426111111112,-5.7,31-40
22,1,35,2020-10-10,2,2,0,3,2,2023-06-01 18:41:35,2023-06-01 17:14:42,3.0,2020,10,10,23154.693055555555,-1.4480555555555557,21-30
54,0,41,2020-01-16,4,1,0,2,1,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,1,16,29569.355277777777,15.889722222222222,51-60
34,2,19,2021-09-25,3,0,1630,0,1,2023-06-01 05:58:39,2023-06-01 03:19:39,2.0,2021,9,25,14741.9775,-2.65,31-40
65,0,21,2021-02-01,2,1,0,2,0,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,2,1,20401.355277777777,15.889722222222222,61-70
50,0,31,2020-10-15,3,0,167,1,2,2023-06-01 03:43:43,2023-06-01 09:24:43,1.0,2020,10,15,23019.72861111111,5.683333333333334,41-50
27,0,16,2020-07-29,4,0,1202,3,3,2023-06-01 07:16:45,2023-06-01 05:59:45,1.0,2020,7,29,24895.279166666667,-1.2833333333333334,21-30
32,2,20,2021-02-15,1,1,0,1,0,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2021,2,15,20065.355277777777,15.889722222222222,31-40
44,1,25,2020-09-27,4,1,0,3,0,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,9,27,23449.355277777777,15.889722222222222,41-50
66,1,39,2020-12-22,3,1,0,3,0,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,12,22,21385.355277777777,15.889722222222222,61-70
64,1,21,2020-11-20,3,0,1403,3,0,2023-06-01 16:21:49,2023-06-01 10:31:49,3.0,2020,11,20,22168.363611111112,-5.833333333333333,61-70
54,1,28,2021-10-10,3,0,1440,1,3,2023-06-01 01:54:49,2023-06-01 20:59:49,3.0,2021,10,10,14377.913611111111,19.083333333333332,51-60
37,1,19,2021-08-16,1,0,712,2,0,2023-06-01 00:39:50,2023-06-01 10:25:50,4.0,2021,8,16,15696.663888888888,9.766666666666667,31-40
68,0,27,2021-10-14,4,2,0,2,0,2023-06-01 07:25:51,2023-06-01 17:14:42,3.0,2021,10,14,14287.430833333334,9.814166666666667,61-70
50,0,31,2021-11-19,1,2,0,0,0,2023-06-01 11:14:53,2023-06-01 17:14:42,3.0,2021,11,19,13427.248055555556,5.996944444444445,41-50
69,1,5,2021-12-22,4,2,0,3,3,2023-06-01 10:33:53,2023-06-01 17:14:42,3.0,2021,12,22,12634.564722222221,6.6802777777777775,61-70
47,2,15,2020-07-28,3,1,0,0,1,2023-06-01 01:21:19,2023-06-01 17:14:42,3.0,2020,7,28,24913.355277777777,15.889722222222222,41-50
27,1,5,2020-07-31,4,0,632,3,2,2023-06-01 11:56:57,2023-06-01 04:45:57,5.0,2020,7,31,24851.949166666665,-7.183333333333334,21-30
